model_id,endpoint_name,provider_name,endpoint_tag,quantization,context_length,max_completion_tokens,supported_parameters,input_modalities,output_modalities,pricing,endpoint_json
openai/gpt-oss-120b,Google | openai/gpt-oss-120b,Google,google-vertex/global,unknown,131072,117964,"[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""seed"",""repetition_penalty"",""top_k"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000009"",""completion"":""0.00000036"",""discount"":0}","{""name"":""Google | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000009"",""completion"":""0.00000036"",""discount"":0},""provider_name"":""Google"",""tag"":""google-vertex/global"",""quantization"":""unknown"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""seed"",""repetition_penalty"",""top_k"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":98.90832655275291,""uptime_last_5m"":98.20359281437125,""uptime_last_1d"":97.35166890782902,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,BaseTen | openai/gpt-oss-120b,BaseTen,baseten/fp4,fp4,128072,115264,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""reasoning_effort""]",null,null,"{""prompt"":""0.0000001"",""completion"":""0.0000005"",""input_cache_read"":""0.0000001"",""discount"":0}","{""name"":""BaseTen | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":128072,""pricing"":{""prompt"":""0.0000001"",""completion"":""0.0000005"",""input_cache_read"":""0.0000001"",""discount"":0},""provider_name"":""BaseTen"",""tag"":""baseten/fp4"",""quantization"":""fp4"",""max_completion_tokens"":115264,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":99.98634267013684,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,BaseTen | openai/gpt-oss-120b,BaseTen,baseten/fp4,fp4,128072,115264,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""reasoning_effort""]",null,null,"{""prompt"":""0.0000001"",""completion"":""0.0000005"",""input_cache_read"":""0.0000001"",""discount"":0}","{""name"":""BaseTen | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":128072,""pricing"":{""prompt"":""0.0000001"",""completion"":""0.0000005"",""input_cache_read"":""0.0000001"",""discount"":0},""provider_name"":""BaseTen"",""tag"":""baseten/fp4"",""quantization"":""fp4"",""max_completion_tokens"":115264,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":99.9853412063271,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,Parasail | openai/gpt-oss-120b,Parasail,parasail/fp4,fp4,131072,117964,"[""reasoning"",""include_reasoning"",""structured_outputs"",""max_tokens"",""temperature"",""top_p"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""seed"",""stop"",""top_k"",""logit_bias"",""response_format"",""tools"",""tool_choice"",""logprobs"",""top_logprobs"",""reasoning_effort""]",null,null,"{""prompt"":""0.0000001"",""completion"":""0.00000075"",""input_cache_read"":""0.000000055"",""discount"":0}","{""name"":""Parasail | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.0000001"",""completion"":""0.00000075"",""input_cache_read"":""0.000000055"",""discount"":0},""provider_name"":""Parasail"",""tag"":""parasail/fp4"",""quantization"":""fp4"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""structured_outputs"",""max_tokens"",""temperature"",""top_p"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""seed"",""stop"",""top_k"",""logit_bias"",""response_format"",""tools"",""tool_choice"",""logprobs"",""top_logprobs"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":99.97545468695745,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,SambaNova | openai/gpt-oss-120b,SambaNova,sambanova,unknown,131072,117964,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""top_k"",""stop"",""tools"",""tool_choice"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000014"",""completion"":""0.00000095"",""discount"":0}","{""name"":""SambaNova | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000014"",""completion"":""0.00000095"",""discount"":0},""provider_name"":""SambaNova"",""tag"":""sambanova"",""quantization"":""unknown"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""top_k"",""stop"",""tools"",""tool_choice"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":97.80033840947546,""uptime_last_5m"":100,""uptime_last_1d"":97.6434084474266,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,Amazon Bedrock | openai/gpt-oss-120b,Amazon Bedrock,amazon-bedrock/eu-west-1,unknown,131072,117964,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""top_k"",""stop"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0}","{""name"":""Amazon Bedrock | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0},""provider_name"":""Amazon Bedrock"",""tag"":""amazon-bedrock/eu-west-1"",""quantization"":""unknown"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""top_k"",""stop"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":null,""uptime_last_5m"":null,""uptime_last_1d"":100,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,Nebius | openai/gpt-oss-120b,Nebius,nebius/fp4,fp4,131072,117964,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""top_k"",""logit_bias"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""repetition_penalty"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0}","{""name"":""Nebius | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0},""provider_name"":""Nebius"",""tag"":""nebius/fp4"",""quantization"":""fp4"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""top_k"",""logit_bias"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""repetition_penalty"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":99.84939759036145,""uptime_last_5m"":100,""uptime_last_1d"":99.21473638746053,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,Amazon Bedrock | openai/gpt-oss-120b,Amazon Bedrock,amazon-bedrock,unknown,131072,117964,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""top_k"",""stop"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0}","{""name"":""Amazon Bedrock | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0},""provider_name"":""Amazon Bedrock"",""tag"":""amazon-bedrock"",""quantization"":""unknown"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""top_k"",""stop"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":53.367623595869,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,DeepInfra | openai/gpt-oss-120b,DeepInfra,deepinfra/turbo,bf16,131072,16384,"[""reasoning"",""include_reasoning"",""response_format"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""top_k"",""seed"",""min_p"",""tools"",""tool_choice"",""structured_outputs"",""logit_bias"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0}","{""name"":""DeepInfra | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000015"",""completion"":""0.0000006"",""discount"":0},""provider_name"":""DeepInfra"",""tag"":""deepinfra/turbo"",""quantization"":""bf16"",""max_completion_tokens"":16384,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""response_format"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""top_k"",""seed"",""min_p"",""tools"",""tool_choice"",""structured_outputs"",""logit_bias"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":99.98543205172741,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,SiliconFlow | openai/gpt-oss-120b,SiliconFlow,siliconflow/fp8,fp8,131072,8192,"[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""temperature"",""top_p"",""top_k"",""frequency_penalty"",""max_tokens"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000075"",""discount"":0}","{""name"":""SiliconFlow | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000075"",""discount"":0},""provider_name"":""SiliconFlow"",""tag"":""siliconflow/fp8"",""quantization"":""fp8"",""max_completion_tokens"":8192,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""temperature"",""top_p"",""top_k"",""frequency_penalty"",""max_tokens"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":null,""uptime_last_1d"":84.18721778395276,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
