model_id,endpoint_name,provider_name,endpoint_tag,quantization,captured_at_utc,context_length,tier,min_prompt_tokens,supported_parameters,input_usd_per_million,output_usd_per_million,cache_read_usd_per_million,cache_write_usd_per_million,pricing_json_original_units
deepseek/deepseek-v4-flash-0731,DigitalOcean | deepseek/deepseek-v4-flash-20260731,DigitalOcean,digitalocean,unknown,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""top_p"", ""max_tokens"", ""response_format"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.119000000,0.238000000,0.0238000000,,"{""prompt"":""0.000000119"",""completion"":""0.000000238"",""input_cache_read"":""0.0000000238"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,BaseTen | deepseek/deepseek-v4-flash-20260731,BaseTen,baseten/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.13000000,0.26000000,0.028000000,,"{""prompt"":""0.00000013"",""completion"":""0.00000026"",""input_cache_read"":""0.000000028"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,BaseTen | deepseek/deepseek-v4-flash-20260731,BaseTen,baseten/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.13000000,0.26000000,0.028000000,,"{""prompt"":""0.00000013"",""completion"":""0.00000026"",""input_cache_read"":""0.000000028"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,CoreWeave | deepseek/deepseek-v4-flash-20260731,CoreWeave,coreweave/fp8,fp8,2026-09-17T05:38:13.189581+00:00,262144,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""top_k"", ""repetition_penalty"", ""frequency_penalty"", ""presence_penalty"", ""stop"", ""seed"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.13000000,0.28000000,0.07000000,,"{""prompt"":""0.00000013"",""completion"":""0.00000028"",""input_cache_read"":""0.00000007"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Together | deepseek/deepseek-v4-flash-20260731,Together,together,unknown,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""top_k"", ""repetition_penalty"", ""logit_bias"", ""min_p"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.14000000,0.28000000,0.03000000,,"{""prompt"":""0.00000014"",""completion"":""0.00000028"",""input_cache_read"":""0.00000003"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Parasail | deepseek/deepseek-v4-flash-20260731,Parasail,parasail/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""stop"", ""top_k"", ""logit_bias"", ""structured_outputs"", ""response_format"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.14000000,0.28000000,0.05000000,,"{""prompt"":""0.00000014"",""completion"":""0.00000028"",""input_cache_read"":""0.00000005"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Morph | deepseek/deepseek-v4-flash-20260731,Morph,morph/bf16,bf16,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""stop"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""top_p"", ""top_k"", ""min_p"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""logit_bias"", ""reasoning_effort""]",0.141953000000,0.399625000000,0.0359375000000,,"{""prompt"":""0.000000141953"",""completion"":""0.000000399625"",""input_cache_read"":""0.0000000359375"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Venice | deepseek/deepseek-v4-flash-20260731,Venice,venice,unknown,2026-09-17T05:38:13.189581+00:00,1000000,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""top_k"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.175000000,0.35000000,0.035000000,,"{""prompt"":""0.000000175"",""completion"":""0.00000035"",""input_cache_read"":""0.000000035"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Mancer 2 | deepseek/deepseek-v4-flash-20260731,Mancer 2,mancer/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""logit_bias"", ""top_k"", ""min_p"", ""seed"", ""top_a"", ""response_format"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""structured_outputs"", ""reasoning_effort""]",0.2000000,0.6000000,,,"{""prompt"":""0.0000002"",""completion"":""0.0000006"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Fireworks | deepseek/deepseek-v4-flash-20260731,Fireworks,fireworks,unknown,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""top_k"", ""repetition_penalty"", ""logit_bias"", ""logprobs"", ""top_logprobs"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.22000000,0.66000000,0.007000000,,"{""prompt"":""0.00000022"",""completion"":""0.00000066"",""input_cache_read"":""0.000000007"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,SiliconFlow | deepseek/deepseek-v4-flash-20260731,SiliconFlow,siliconflow/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""top_p"", ""top_k"", ""frequency_penalty"", ""max_tokens"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.22000000,0.66000000,0.028000000,,"{""prompt"":""0.00000022"",""completion"":""0.00000066"",""input_cache_read"":""0.000000028"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,GMICloud | deepseek/deepseek-v4-flash-20260731,GMICloud,gmicloud/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048575,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""seed"", ""response_format"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.286000000,0.858000000,0.0091000000,,"{""prompt"":""0.000000286"",""completion"":""0.000000858"",""input_cache_read"":""0.0000000091"",""discount"":0.35}"
deepseek/deepseek-v4-flash-0731,NextBit | deepseek/deepseek-v4-flash-20260731,NextBit,nextbit/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""response_format"", ""structured_outputs"", ""repetition_penalty"", ""seed"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.352000000,1.056000000,0.012000000,,"{""prompt"":""0.000000352"",""completion"":""0.000001056"",""input_cache_read"":""0.000000012"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Alibaba | deepseek/deepseek-v4-flash-20260731,Alibaba,alibaba,unknown,2026-09-17T05:38:13.189581+00:00,1000000,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""seed"", ""presence_penalty"", ""response_format"", ""top_k"", ""frequency_penalty"", ""stop"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.352000000,1.056000000,0.0352000000,,"{""prompt"":""0.000000352"",""completion"":""0.000001056"",""input_cache_read"":""0.0000000352"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Alibaba | deepseek/deepseek-v4-flash-20260731,Alibaba,alibaba,unknown,2026-09-17T05:38:13.189581+00:00,1000000,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""seed"", ""presence_penalty"", ""response_format"", ""top_k"", ""frequency_penalty"", ""stop"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.352000000,1.056000000,0.0352000000,,"{""prompt"":""0.000000352"",""completion"":""0.000001056"",""input_cache_read"":""0.0000000352"",""discount"":0,""utc_start"":0,""utc_end"":1400}"
deepseek/deepseek-v4-flash-0731,Alibaba | deepseek/deepseek-v4-flash-20260731,Alibaba,alibaba,unknown,2026-09-17T05:38:13.189581+00:00,1000000,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""seed"", ""presence_penalty"", ""response_format"", ""top_k"", ""frequency_penalty"", ""stop"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.176000000,0.528000000,0.0176000000,,"{""prompt"":""0.000000176"",""completion"":""0.000000528"",""input_cache_read"":""0.0000000176"",""discount"":0,""utc_start"":1400,""utc_end"":0}"
deepseek/deepseek-v4-flash-0731,Novita | deepseek/deepseek-v4-flash-20260731,Novita,novita/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""seed"", ""top_k"", ""repetition_penalty"", ""tools"", ""response_format"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.4092000000,1.2276000000,0.02604000000,,"{""prompt"":""0.0000004092"",""completion"":""0.0000012276"",""input_cache_read"":""0.00000002604"",""discount"":0.07}"
deepseek/deepseek-v4-flash-0731,Phala | deepseek/deepseek-v4-flash-20260731,Phala,phala,unknown,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""seed"", ""top_k"", ""min_p"", ""repetition_penalty"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.44000000,1.32000000,0.028000000,,"{""prompt"":""0.00000044"",""completion"":""0.00000132"",""input_cache_read"":""0.000000028"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Baidu | deepseek/deepseek-v4-flash-20260731,Baidu,baidu/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""top_p"", ""max_tokens"", ""stop"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.44000000,1.32000000,0.014000000,,"{""prompt"":""0.00000044"",""completion"":""0.00000132"",""input_cache_read"":""0.000000014"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,AtlasCloud | deepseek/deepseek-v4-flash-20260731,AtlasCloud,atlas-cloud/fp4,fp4,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""top_k"", ""min_p"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""stop"", ""seed"", ""logit_bias"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.44000000,1.32000000,0.028000000,,"{""prompt"":""0.00000044"",""completion"":""0.00000132"",""input_cache_read"":""0.000000028"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Cloudflare | deepseek/deepseek-v4-flash-20260731,Cloudflare,cloudflare,unknown,2026-09-17T05:38:13.189581+00:00,1310720,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""top_k"", ""seed"", ""repetition_penalty"", ""frequency_penalty"", ""presence_penalty"", ""min_p"", ""stop"", ""logit_bias"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.44000000,1.32000000,0.014000000,,"{""prompt"":""0.00000044"",""completion"":""0.00000132"",""input_cache_read"":""0.000000014"",""discount"":0}"
deepseek/deepseek-v4.1-flash,Relace | deepseek/deepseek-v4.1-flash-20260910,Relace,relace/fp4,fp4,2026-09-17T05:38:13.188101+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""top_p"", ""top_k"", ""min_p"", ""stop"", ""max_tokens"", ""logit_bias"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.15000000,0.6000000,0.015000000,,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000015"",""discount"":0}"
deepseek/deepseek-v4.1-flash,DeepSeek | deepseek/deepseek-v4.1-flash-20260910,DeepSeek,deepseek,unknown,2026-09-17T05:38:13.188101+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.15000000,0.6000000,0.003000000,,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000003"",""discount"":0}"
deepseek/deepseek-v4.1-flash,DeepSeek | deepseek/deepseek-v4.1-flash-20260910,DeepSeek,deepseek,unknown,2026-09-17T05:38:13.188101+00:00,1048576,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.15000000,0.6000000,0.003000000,,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000003"",""discount"":0,""utc_days"":[""saturday"",""sunday""]}"
deepseek/deepseek-v4.1-flash,DeepSeek | deepseek/deepseek-v4.1-flash-20260910,DeepSeek,deepseek,unknown,2026-09-17T05:38:13.188101+00:00,1048576,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.15000000,0.6000000,0.003000000,,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000003"",""discount"":0,""utc_start"":0,""utc_end"":100,""utc_days"":[""monday"",""tuesday"",""wednesday"",""thursday"",""friday""]}"
deepseek/deepseek-v4.1-flash,DeepSeek | deepseek/deepseek-v4.1-flash-20260910,DeepSeek,deepseek,unknown,2026-09-17T05:38:13.188101+00:00,1048576,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.3000000,1.2000000,0.006000000,,"{""prompt"":""0.0000003"",""completion"":""0.0000012"",""input_cache_read"":""0.000000006"",""discount"":0,""utc_start"":100,""utc_end"":400,""utc_days"":[""monday"",""tuesday"",""wednesday"",""thursday"",""friday""]}"
deepseek/deepseek-v4.1-flash,DeepSeek | deepseek/deepseek-v4.1-flash-20260910,DeepSeek,deepseek,unknown,2026-09-17T05:38:13.188101+00:00,1048576,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.15000000,0.6000000,0.003000000,,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000003"",""discount"":0,""utc_start"":400,""utc_end"":600,""utc_days"":[""monday"",""tuesday"",""wednesday"",""thursday"",""friday""]}"
deepseek/deepseek-v4.1-flash,DeepSeek | deepseek/deepseek-v4.1-flash-20260910,DeepSeek,deepseek,unknown,2026-09-17T05:38:13.188101+00:00,1048576,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.3000000,1.2000000,0.006000000,,"{""prompt"":""0.0000003"",""completion"":""0.0000012"",""input_cache_read"":""0.000000006"",""discount"":0,""utc_start"":600,""utc_end"":1000,""utc_days"":[""monday"",""tuesday"",""wednesday"",""thursday"",""friday""]}"
deepseek/deepseek-v4.1-flash,DeepSeek | deepseek/deepseek-v4.1-flash-20260910,DeepSeek,deepseek,unknown,2026-09-17T05:38:13.188101+00:00,1048576,override,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.15000000,0.6000000,0.003000000,,"{""prompt"":""0.00000015"",""completion"":""0.0000006"",""input_cache_read"":""0.000000003"",""discount"":0,""utc_start"":1000,""utc_end"":0,""utc_days"":[""monday"",""tuesday"",""wednesday"",""thursday"",""friday""]}"
deepseek/deepseek-v4.1-flash,DeepInfra | deepseek/deepseek-v4.1-flash-20260910,DeepInfra,deepinfra/fp8,fp8,2026-09-17T05:38:13.188101+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""top_k"", ""seed"", ""min_p"", ""logit_bias"", ""structured_outputs"", ""tools"", ""tool_choice"", ""response_format"", ""reasoning_effort""]",0.2000000,0.6000000,0.006000000,,"{""prompt"":""0.0000002"",""completion"":""0.0000006"",""input_cache_read"":""0.000000006"",""discount"":0}"
deepseek/deepseek-v4.1-flash,Fireworks | deepseek/deepseek-v4.1-flash-20260910,Fireworks,fireworks,unknown,2026-09-17T05:38:13.188101+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""top_k"", ""repetition_penalty"", ""logit_bias"", ""logprobs"", ""top_logprobs"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.22000000,0.66000000,0.007000000,,"{""prompt"":""0.00000022"",""completion"":""0.00000066"",""input_cache_read"":""0.000000007"",""discount"":0}"
deepseek/deepseek-v4.1-flash,Morph | deepseek/deepseek-v4.1-flash-20260910,Morph,morph/fp8,fp8,2026-09-17T05:38:13.188101+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""stop"", ""top_p"", ""top_k"", ""min_p"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""logit_bias"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.24000000,0.96000000,0.0072000000,,"{""prompt"":""0.00000024"",""completion"":""0.00000096"",""input_cache_read"":""0.0000000072"",""discount"":0.2}"
deepseek/deepseek-v4.1-flash,GMICloud | deepseek/deepseek-v4.1-flash-20260910,GMICloud,gmicloud/fp8,fp8,2026-09-17T05:38:13.188101+00:00,1048575,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""seed"", ""response_format"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.285000000,1.14000000,0.0057000000,,"{""prompt"":""0.000000285"",""completion"":""0.00000114"",""input_cache_read"":""0.0000000057"",""discount"":0.05}"
deepseek/deepseek-v4.1-flash,Reka | deepseek/deepseek-v4.1-flash-20260910,Reka,reka/fp4,fp4,2026-09-17T05:38:13.188101+00:00,262144,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""top_p"", ""max_tokens"", ""stop"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.29000000,1.16000000,0.029000000,,"{""prompt"":""0.00000029"",""completion"":""0.00000116"",""input_cache_read"":""0.000000029"",""discount"":0}"
deepseek/deepseek-v4.1-flash,BaseTen | deepseek/deepseek-v4.1-flash-20260910,BaseTen,baseten/fp8,fp8,2026-09-17T05:38:13.188101+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.3000000,1.2000000,0.03000000,,"{""prompt"":""0.0000003"",""completion"":""0.0000012"",""input_cache_read"":""0.00000003"",""discount"":0}"
